id,batch,text,mood,scene,style,purpose,theme,relation,length,tone_level,format,content_rating,keywords,tag_version,qc_passed,qc_errors,qc_warnings
1,old,🥐ii 得e,mood_humor,scene_universal,style_abstract|style_symbol_deco,purpose_cool_pose,,relation_none,length_ultra_short,3,format_has_emoji|format_has_english,rating_clean,,v1.0,True,,
2,old,"人生很短,幸好有春天、浪漫主义,还有小狗和好天气🌿🐶",mood_healing,scene_nature,style_poetic|style_emoji_heavy,purpose_share_life,theme_happiness|theme_season_spring|theme_pet,relation_none,length_short,2,format_has_emoji,rating_clean,春天|小狗|好天气,v1.0,True,,
3,old,▫plog𖦹 🍎⋆。,mood_mysterious,scene_universal,style_symbol_deco,purpose_cool_pose,,relation_none,length_ultra_short,2,format_has_emoji|format_has_english|format_photo_dump,rating_clean,,v1.0,True,,
4,old,快樂礼拜天,mood_happy,scene_holiday,style_minimal,purpose_share_life,theme_happiness,relation_none,length_ultra_short,3,,rating_clean,礼拜天,v1.0,True,,
5,old,道别是为延续永恒的华丽,mood_literary,scene_universal,style_poetic,purpose_show_mood,theme_philosophy,relation_none,length_ultra_short,3,,rating_clean,,v1.0,True,,
6,old,( 𓏼 ̇ ᴥ  ̇𓏼 ),mood_humor,scene_universal,style_symbol_deco,purpose_cool_pose,,relation_none,length_ultra_short,2,,rating_clean,,v1.0,True,,
7,old,爱是人类小小的癌,mood_literary,scene_universal,style_poetic,purpose_show_mood,theme_love|theme_philosophy,relation_none,length_ultra_short,3,,rating_clean,爱,v1.0,True,,
8,old,荒诞的幽默是给精神支柱的精雕,mood_reflective,scene_universal,style_poetic,purpose_show_mood,theme_philosophy,relation_none,length_ultra_short,3,,rating_clean,,v1.0,True,,
9,old,“是某天是一瞬间”,mood_reflective,scene_universal,style_quote,purpose_show_mood,theme_nostalgia,relation_none,length_ultra_short,2,format_has_quotes,rating_clean,,v1.0,True,,
10,old,我喜欢淡淡的生活 淡淡的情绪 淡淡的心情和简略的语言 就像雨滴落在地面没有任何痕迹 我喜欢这样平静的生活 淡淡的就会减少很多的痛苦 淡淡的就顺顺的,mood_peaceful,scene_universal,style_essay,purpose_show_mood,theme_self_love|theme_philosophy,relation_solo,length_medium,2,,rating_clean,雨,v1.0,True,,
