id,text,mood,scene,style,purpose,theme,relation,length,tone_level,format,content_rating,keywords,tag_version,qc_passed,qc_errors,qc_warnings
1,随橙想呢 这个期末周反耳给了我一些网瘾,mood_humor,scene_study,style_colloquial,purpose_complain,theme_work_life,relation_none,length_short,4,,rating_clean,期末周|网瘾,v1.0,True,,
2,学校群师欺我脑无力,mood_humor,scene_study,style_minimal,purpose_complain,theme_work_life,relation_none,length_ultra_short,4,,rating_clean,学校,v1.0,True,,
3,读书改变命运是真的 我本来活得好好的,mood_humor,scene_study,style_quote,purpose_complain,theme_work_life,relation_none,length_short,4,,rating_clean,读书|命运,v1.0,True,,
4,"如果能取消期末考试,就算惩罚我提前放寒假回家过年我也是愿意的。",mood_humor,scene_study,style_colloquial,purpose_complain,theme_work_life,relation_none,length_short,4,,rating_clean,期末考试|寒假|过年,v1.0,True,,
5,"偷情吗?你偷偷帮我考试,我记着这份恩情",mood_humor,scene_study,style_colloquial,purpose_complain,theme_work_life,relation_none,length_short,5,,rating_clean,考试,v1.0,True,,
6,本人对于期末考试已有十分的把握 但是阴险的试卷满分竟然是一百,mood_humor,scene_study,style_colloquial,purpose_complain,theme_work_life,relation_none,length_short,4,,rating_clean,期末考试|试卷|满分,v1.0,True,,
7,"怒而背之,背而忘之,忘而倦之,倦而玩之,玩而惧之,惧而悔之,悔而怒之。",mood_humor,scene_study,style_abstract,purpose_complain,theme_work_life,relation_none,length_short,3,,rating_clean,背书,v1.0,True,,
8,考完期末后整个人,mood_humor,scene_study,style_minimal,purpose_complain,theme_work_life,relation_none,length_ultra_short,3,,rating_clean,期末,v1.0,True,,
9,"数学就是:授之以渔,考之以鳕 鲣 鳔 鳓 鳗 鳘 鰵 鲅 鲍 鲈 鲇 鲆 鲐 鲑 鲛 鲔 鲟 鲫 鲤 鲢 鲨 鲳 鲷 鲱 鲸 鲲 鲮 鲵 鲶 鲯 鲭 鲻 鳊 鳋 鳃 鳄 鳅 鳇 鳉 鳊 鳏 鳍 鳎 鳐 鳢 鳜 鳝 鳟...",mood_humor,scene_study,style_abstract,purpose_complain,theme_work_life,relation_none,length_long,4,,rating_clean,数学,v1.0,True,,
10,"考试遇到不会的题千万不要慌,腾出双手准备好掐死自己,但别真死。因为人在快死的时候会回忆自己的一生,当你回忆起课本内容的时候立即松手挣脱出来,而你的难题就迎刃而解了",mood_humor,scene_study,style_essay,purpose_complain,theme_work_life,relation_none,length_long,5,,rating_clean,考试,v1.0,True,,
