id,text,tags
1,"🥐ii 得e","{""mood"": [""mood_humor""], ""scene"": [""scene_universal""], ""style"": [""style_abstract"", ""style_symbol_deco""], ""purpose"": [""purpose_cool_pose""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": []}"
2,"人生很短,幸好有春天、浪漫主义,还有小狗和好天气🌿🐶","{""mood"": [""mood_healing""], ""scene"": [""scene_nature""], ""style"": [""style_poetic"", ""style_emoji_heavy""], ""purpose"": [""purpose_share_life""], ""theme"": [""theme_happiness"", ""theme_season_spring"", ""theme_pet""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""春天"", ""小狗"", ""好天气""]}"
3,"▫plog𖦹 🍎⋆。","{""mood"": [""mood_mysterious""], ""scene"": [""scene_universal""], ""style"": [""style_symbol_deco""], ""purpose"": [""purpose_cool_pose""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": []}"
4,"快樂礼拜天","{""mood"": [""mood_happy""], ""scene"": [""scene_holiday""], ""style"": [""style_minimal""], ""purpose"": [""purpose_share_life""], ""theme"": [""theme_happiness""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""礼拜天""]}"
5,"道别是为延续永恒的华丽","{""mood"": [""mood_literary""], ""scene"": [""scene_universal""], ""style"": [""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_philosophy""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": []}"
6,"( 𓏼 ̇ ᴥ  ̇𓏼 )","{""mood"": [""mood_humor""], ""scene"": [""scene_universal""], ""style"": [""style_symbol_deco""], ""purpose"": [""purpose_cool_pose""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": []}"
7,"爱是人类小小的癌","{""mood"": [""mood_literary""], ""scene"": [""scene_universal""], ""style"": [""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_love"", ""theme_philosophy""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""爱""]}"
8,"荒诞的幽默是给精神支柱的精雕","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_philosophy""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": []}"
9,"“是某天是一瞬间”","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_nostalgia""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": []}"
10,"我喜欢淡淡的生活 淡淡的情绪 淡淡的心情和简略的语言 就像雨滴落在地面没有任何痕迹 我喜欢这样平静的生活 淡淡的就会减少很多的痛苦 淡淡的就顺顺的","{""mood"": [""mood_peaceful""], ""scene"": [""scene_universal""], ""style"": [""style_essay""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_self_love"", ""theme_philosophy""], ""relation"": ""relation_solo"", ""tone_level"": 2, ""keywords"": [""雨""]}"
11,"May episode🩵ིྀ  ̊✩","{""mood"": [""mood_romantic""], ""scene"": [""scene_universal""], ""style"": [""style_cn_en_mix"", ""style_symbol_deco""], ""purpose"": [""purpose_record""], ""theme"": [""theme_season_spring""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""May""]}"
12,"如果什么都是淡淡的就好了 不开心是淡淡的 痛苦是淡淡的 哪怕幸福也好一直淡淡的 就是石子打到水里 内心只有平静 就不会痛苦","{""mood"": [""mood_peaceful""], ""scene"": [""scene_universal""], ""style"": [""style_essay""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_philosophy""], ""relation"": ""relation_solo"", ""tone_level"": 2, ""keywords"": []}"
13,"我的一切都是淡淡的 轰轰烈烈对我来说有点遥不可及 如果你能懂我的话,我的内心应该像是平静的湖水突然有了一些涟漪,很轻,但却很清晰","{""mood"": [""mood_peaceful""], ""scene"": [""scene_universal""], ""style"": [""style_essay""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_self_love""], ""relation"": ""relation_solo"", ""tone_level"": 2, ""keywords"": [""湖水""]}"
14,"photo dump🫧🧺","{""mood"": [""mood_peaceful""], ""scene"": [""scene_universal""], ""style"": [""style_cn_en_mix"", ""style_symbol_deco""], ""purpose"": [""purpose_record""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": []}"
15,"in Mo3ent","{""mood"": [""mood_mysterious""], ""scene"": [""scene_universal""], ""style"": [""style_cn_en_mix""], ""purpose"": [""purpose_cool_pose""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": []}"
16,"太阳是树的心脏","{""mood"": [""mood_healing""], ""scene"": [""scene_nature""], ""style"": [""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_season_spring"", ""theme_sunny""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""太阳"", ""树""]}"
17,"work⌨️»","{""mood"": [""mood_energetic""], ""scene"": [""scene_work""], ""style"": [""style_symbol_deco""], ""purpose"": [""purpose_share_life""], ""theme"": [""theme_work_life""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""工作""]}"
18,"“边边角角”","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_show_mood""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": []}"
19,"""不知不觉成了每天为生活奔波的人。""","{""mood"": [""mood_emo""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_work_life"", ""theme_growth""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""生活""]}"
20,"记录一些「白开水时刻」","{""mood"": [""mood_peaceful""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_record""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""白开水""]}"
21,"📝 人与人需要多少片涟漪才能长流","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_friendship"", ""theme_philosophy""], ""relation"": ""relation_friend"", ""tone_level"": 2, ""keywords"": [""涟漪""]}"
22,"幸福就像是隐藏在电影的彩蛋","{""mood"": [""mood_healing""], ""scene"": [""scene_universal""], ""style"": [""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_happiness""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""电影"", ""彩蛋""]}"
23,"目前状态:轻松愉快","{""mood"": [""mood_happy""], ""scene"": [""scene_universal""], ""style"": [""style_minimal""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_happiness""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": []}"
24,"发什么呆","{""mood"": [""mood_humor""], ""scene"": [""scene_universal""], ""style"": [""style_minimal""], ""purpose"": [""purpose_interact""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": []}"
25,"我无限地爱着新的一日","{""mood"": [""mood_energetic""], ""scene"": [""scene_universal""], ""style"": [""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_happiness"", ""theme_sunny""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""新的一日""]}"
26,"The best people in life are free","{""mood"": [""mood_energetic""], ""scene"": [""scene_universal""], ""style"": [""style_cn_en_mix"", ""style_quote""], ""purpose"": [""purpose_cool_pose""], ""theme"": [""theme_freedom""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": []}"
27,"""And miles to go before I sleep""","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_cn_en_mix"", ""style_quote""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_philosophy""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": []}"
28,"地球快爆炸","{""mood"": [""mood_humor""], ""scene"": [""scene_universal""], ""style"": [""style_minimal""], ""purpose"": [""purpose_complain""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 4, ""keywords"": [""地球""]}"
29,"我最近幸福的没话说","{""mood"": [""mood_happy""], ""scene"": [""scene_universal""], ""style"": [""style_minimal""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_happiness""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": []}"
30,"我喜欢平静的生活 每天平静的过完一天 这就足够了 就算有什么出乎意料的事情即将发生我也希望它慢慢地敲响我的门让我欣然接受 🪴","{""mood"": [""mood_peaceful""], ""scene"": [""scene_home""], ""style"": [""style_essay"", ""style_emoji_heavy""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_self_love""], ""relation"": ""relation_solo"", ""tone_level"": 2, ""keywords"": []}"
31,"•“将来的某一天,我会因为生活如此美好喜极而泣。”","{""mood"": [""mood_healing""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_happiness""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": []}"
32,"▪️于是 这一生得以缓慢铺陈 尽管艰难","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_symbol_deco"", ""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_growth"", ""theme_philosophy""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": []}"
33,"猪肉摊上没人要你的时候也会偷偷哭泣吧","{""mood"": [""mood_humor""], ""scene"": [""scene_universal""], ""style"": [""style_abstract""], ""purpose"": [""purpose_cool_pose""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""猪肉""]}"
34,"也许是天气 也许是运气🍀","{""mood"": [""mood_peaceful""], ""scene"": [""scene_universal""], ""style"": [""style_minimal"", ""style_emoji_heavy""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_sunny""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""天气"", ""运气""]}"
35,"被珍藏的昨日","{""mood"": [""mood_nostalgia""], ""scene"": [""scene_universal""], ""style"": [""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_nostalgia""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""昨日""]}"
36,"迈入夏天的深绿里","{""mood"": [""mood_healing""], ""scene"": [""scene_nature""], ""style"": [""style_poetic""], ""purpose"": [""purpose_share_life""], ""theme"": [""theme_season_spring""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""夏天"", ""深绿""]}"
37,"/•᷅‎‎•᷄\୭","{""mood"": [""mood_humor""], ""scene"": [""scene_universal""], ""style"": [""style_symbol_deco""], ""purpose"": [""purpose_cool_pose""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": []}"
38,"腰栓栓的、爱内耗、想摆烂、偷偷emo","{""mood"": [""mood_emo""], ""scene"": [""scene_universal""], ""style"": [""style_colloquial""], ""purpose"": [""purpose_complain""], ""theme"": [""theme_work_life""], ""relation"": ""relation_solo"", ""tone_level"": 4, ""keywords"": [""腰"", ""内耗"", ""摆烂""]}"
39,"破烂世界打成大蛋挞","{""mood"": [""mood_humor""], ""scene"": [""scene_universal""], ""style"": [""style_abstract""], ""purpose"": [""purpose_cool_pose""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 4, ""keywords"": [""蛋挞""]}"
40,"“词不达意是我们的通病.”","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_philosophy""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": []}"
41,"不想拥有太多情绪","{""mood"": [""mood_peaceful""], ""scene"": [""scene_universal""], ""style"": [""style_minimal""], ""purpose"": [""purpose_show_mood""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": []}"
42,"人生之福藏于微常","{""mood"": [""mood_peaceful""], ""scene"": [""scene_universal""], ""style"": [""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_happiness"", ""theme_philosophy""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": []}"
43,"如果天气超级好的话","{""mood"": [""mood_healing""], ""scene"": [""scene_nature""], ""style"": [""style_minimal""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_sunny""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""天气""]}"
44,"笨蛋๐ ̇Ⱉ ̇๐","{""mood"": [""mood_humor""], ""scene"": [""scene_universal""], ""style"": [""style_symbol_deco""], ""purpose"": [""purpose_cool_pose""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": []}"
45,"32号就恋爱","{""mood"": [""mood_humor""], ""scene"": [""scene_universal""], ""style"": [""style_abstract""], ""purpose"": [""purpose_subtle_love""], ""theme"": [""theme_love""], ""relation"": ""relation_crush"", ""tone_level"": 3, ""keywords"": [""32号""]}"
46,"Onely look at me","{""mood"": [""mood_romantic""], ""scene"": [""scene_universal""], ""style"": [""style_cn_en_mix""], ""purpose"": [""purpose_subtle_love""], ""theme"": [""theme_love""], ""relation"": ""relation_crush"", ""tone_level"": 3, ""keywords"": []}"
47,"▪️猫的左耳","{""mood"": [""mood_mysterious""], ""scene"": [""scene_pet""], ""style"": [""style_symbol_deco"", ""style_minimal""], ""purpose"": [""purpose_share_life""], ""theme"": [""theme_pet""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""猫"", ""左耳""]}"
48,"属于玫瑰的盛夏永不缺席。","{""mood"": [""mood_romantic""], ""scene"": [""scene_nature""], ""style"": [""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_season_spring"", ""theme_love""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""玫瑰"", ""盛夏""]}"
49,"心静可通万事理","{""mood"": [""mood_peaceful""], ""scene"": [""scene_universal""], ""style"": [""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_philosophy""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": []}"
50,"风吹过山丘 我和我阔别已久","{""mood"": [""mood_reflective""], ""scene"": [""scene_nature""], ""style"": [""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_nostalgia"", ""theme_growth""], ""relation"": ""relation_solo"", ""tone_level"": 3, ""keywords"": [""风"", ""山丘""]}"
51,"其实只要是情绪低落或者焦虑和无聊的时候","{""mood"": [""mood_emo""], ""scene"": [""scene_universal""], ""style"": [""style_minimal""], ""purpose"": [""purpose_show_mood""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""情绪低落"", ""焦虑"", ""无聊""]}"
52,"“好坏参半”","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_philosophy""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": []}"
